ticker	path	path_candle	path_stra	Net Profit	Net Profit_per	Total Closed Trades	Percent Profitable	Profit Factor	Max Drawdown	Max Drawdown_per	Avg Trade	Avg Trade_per	Avg # Bars in Trades
ADVM	d_price/pine_tree\ADVM_d5_q0.195_id1339_pine.java	d_price/TRAVIEW_stra/ADVM_candles.png	d_price/TRAVIEW_stra/ADVM_stra.png	23.99 USD	0%	67	76.12%	6.837	2.42 USD	0%	0.36 USD	8.6%	4
AEE	d_price/pine_tree\AEE_d5_q0.217_id1769_pine.java	d_price/TRAVIEW_stra/AEE_candles.png	d_price/TRAVIEW_stra/AEE_stra.png	40.09 USD	0%	37	43.24%	4.456	7.86 USD	0%	1.08 USD	1.26%	9
AEG	d_price/pine_tree\AEG_d5_q0.202_id402_pine.java	d_price/TRAVIEW_stra/AEG_candles.png	d_price/TRAVIEW_stra/AEG_stra.png	−14.50 USD	0%	151	57.62%	0.695	30.25 USD	0%	−0.10 USD	1.5%	8
AEHR	d_price/pine_tree\AEHR_d5_q0.161_id835_pine.java	d_price/TRAVIEW_stra/AEHR_candles.png	d_price/TRAVIEW_stra/AEHR_stra.png	30.20 USD	0%	132	53.03%	2.069	16.89 USD	0%	0.23 USD	1.85%	7
AEIS	d_price/pine_tree\AEIS_d5_q0.193_id362_pine.java	d_price/TRAVIEW_stra/AEIS_candles.png	d_price/TRAVIEW_stra/AEIS_stra.png	21.22 USD	0%	317	54.26%	1.05	260.35 USD	0.03%	0.07 USD	0.11%	12
AEL	d_price/pine_tree\AEL_d5_q0.217_id1221_pine.java	d_price/TRAVIEW_stra/AEL_candles.png	d_price/TRAVIEW_stra/AEL_stra.png	124.07 USD	0.01%	226	76.11%	3.411	18.98 USD	0%	0.55 USD	2.98%	11
AEM	d_price/pine_tree\AEM_d5_q0.207_id373_pine.java	d_price/TRAVIEW_stra/AEM_candles.png	d_price/TRAVIEW_stra/AEM_stra.png	155.87 USD	0.02%	430	55.81%	2.1	51.31 USD	0.01%	0.36 USD	1.02%	8
AEO	d_price/pine_tree\AEO_d5_q0.185_id1267_pine.java	d_price/TRAVIEW_stra/AEO_candles.png	d_price/TRAVIEW_stra/AEO_stra.png	55.37 USD	0.01%	269	49.81%	2.283	10.65 USD	0%	0.21 USD	1.46%	5
AEP	d_price/pine_tree\AEP_d5_q0.238_id262_pine.java	d_price/TRAVIEW_stra/AEP_candles.png	d_price/TRAVIEW_stra/AEP_stra.png	63.53 USD	0.01%	167	52.1%	1.834	40.45 USD	0%	0.38 USD	0.34%	11
AER	d_price/pine_tree\AER_d5_q0.209_id1179_pine.java	d_price/TRAVIEW_stra/AER_candles.png	d_price/TRAVIEW_stra/AER_stra.png	35.76 USD	0%	45	68.89%	5.504	6.24 USD	0%	0.79 USD	4.26%	6
AFG	d_price/pine_tree\AFG_d5_q0.257_id275_pine.java	d_price/TRAVIEW_stra/AFG_candles.png	d_price/TRAVIEW_stra/AFG_stra.png	229.24 USD	0.02%	301	52.16%	2.397	59.71 USD	0.01%	0.76 USD	2.72%	46
AFL	d_price/pine_tree\AFL_d5_q0.253_id1687_pine.java	d_price/TRAVIEW_stra/AFL_candles.png	d_price/TRAVIEW_stra/AFL_stra.png	48.27 USD	0%	140	56.43%	2.912	18.94 USD	0%	0.34 USD	2%	10
AFT	d_price/pine_tree\AFT_d5_q0.288_id278_pine.java	d_price/TRAVIEW_stra/AFT_candles.png	d_price/TRAVIEW_stra/AFT_stra.png	7.84 USD	0%	17	76.47%	13.852	0.59 USD	0%	0.46 USD	3.72%	12
AG	d_price/pine_tree\AG_d5_q0.142_id370_pine.java	d_price/TRAVIEW_stra/AG_candles.png	d_price/TRAVIEW_stra/AG_stra.png	24.62 USD	0%	93	62.37%	2.65	6.03 USD	0%	0.26 USD	4%	8
AGCO	d_price/pine_tree\AGCO_d5_q0.177_id1336_pine.java	d_price/TRAVIEW_stra/AGCO_candles.png	d_price/TRAVIEW_stra/AGCO_stra.png	282.99 USD	0.03%	229	60.7%	3.348	34.60 USD	0%	1.24 USD	2.94%	9
AGI	d_price/pine_tree\AGI_d5_q0.208_id832_pine.java	d_price/TRAVIEW_stra/AGI_candles.png	d_price/TRAVIEW_stra/AGI_stra.png	704.30 INR	0.07%	135	60%	4.558	134.60 INR	0.01%	5.22 INR	1.75%	7
