Date	Open	High	Low	Close	Volume
2022-03-23 05:00:00	1195.74	1258.17	1172.0	1212.45	591600
2022-03-24 05:00:00	1211.57	1239.91	1174.42	1236.44	483300
2022-03-25 05:00:00	1226.32	1234.99	1150.7	1166.33	585000
2022-03-28 05:00:00	1160.51	1230.0	1160.51	1225.16	558400
2022-03-29 05:00:00	1245.67	1267.67	1221.98	1256.5	495700
2022-03-30 05:00:00	1239.3	1255.51	1192.81	1209.85	363700
2022-03-31 05:00:00	1212.45	1223.93	1188.32	1189.48	407600
2022-04-01 05:00:00	1213.63	1251.56	1205.17	1224.13	369600
2022-04-04 05:00:00	1240.0	1275.82	1227.0	1265.01	390200
2022-04-05 05:00:00	1263.99	1265.3	1204.73	1218.15	309500
2022-04-06 05:00:00	1190.0	1190.0	1137.16	1163.97	504800
2022-04-07 05:00:00	1155.0	1192.49	1145.82	1173.14	265000
2022-04-08 05:00:00	1157.94	1178.9	1139.12	1160.8	362600
2022-04-11 05:00:00	1136.17	1154.5	1116.15	1125.69	404600
2022-04-12 05:00:00	1165.43	1185.87	1113.85	1115.98	455100
2022-04-13 05:00:00	1115.0	1144.04	1104.03	1135.75	327900
2022-04-14 05:00:00	1120.0	1129.74	1059.11	1060.34	510700
2022-04-18 05:00:00	1050.0	1081.6	1031.2	1070.04	352100
2022-04-19 05:00:00	1055.45	1139.34	1055.45	1130.35	343000
2022-04-20 05:00:00	1137.8	1137.8	1078.57	1080.16	383200
2022-04-21 05:00:00	1100.0	1111.22	1010.82	1014.01	407500
2022-04-22 05:00:00	1010.0	1029.94	967.33	979.82	526700
2022-04-25 05:00:00	972.8	1043.39	968.89	1041.92	456600
2022-04-26 05:00:00	1017.23	1038.82	1006.49	1019.84	634700
2022-04-27 05:00:00	1006.29	1066.14	1005.86	1024.74	422000
2022-04-28 05:00:00	1044.0	1056.95	1002.79	1040.0	427700
2022-04-29 05:00:00	1029.18	1050.49	965.82	973.63	544100
2022-05-02 05:00:00	972.12	1006.87	958.61	1002.79	411700
2022-05-03 05:00:00	998.91	1034.76	981.01	996.64	326600
2022-05-04 05:00:00	981.6	1028.99	925.0	1023.21	547300
2022-05-05 05:00:00	993.0	994.49	900.42	913.22	798100
2022-05-06 05:00:00	960.01	986.0	883.67	927.55	1180000
2022-05-09 05:00:00	892.94	899.43	764.01	770.99	1300000
2022-05-10 05:00:00	808.08	836.13	766.12	774.44	1020100
2022-05-11 05:00:00	771.8	774.99	674.53	679.68	1122200
2022-05-12 05:00:00	655.0	747.12	640.0	722.93	1233700
2022-05-13 05:00:00	751.0	805.88	738.83	794.96	873400
2022-05-16 05:00:00	774.21	823.0	767.06	787.81	717600
2022-05-17 05:00:00	815.01	835.32	772.78	834.88	696400
2022-05-18 05:00:00	802.01	824.85	745.77	749.3	660200
2022-05-19 05:00:00	752.6	823.33	752.6	801.57	953800
2022-05-20 05:00:00	824.71	832.95	732.0	775.65	1069900
2022-05-23 05:00:00	775.93	782.83	736.9	774.3	848400
2022-05-24 05:00:00	745.12	745.12	690.5	699.86	917000
2022-05-25 05:00:00	703.62	734.53	696.8	723.0	767300
2022-05-26 05:00:00	725.22	788.79	718.01	783.44	731000
2022-05-27 05:00:00	802.36	818.64	785.01	811.44	469800
2022-05-31 05:00:00	807.0	812.18	765.75	785.88	580400
2022-06-01 05:00:00	797.56	806.84	741.96	762.24	562400
2022-06-02 05:00:00	770.0	837.81	770.0	836.74	546400
2022-06-03 05:00:00	815.19	826.15	787.62	788.9	484300
2022-06-06 05:00:00	818.37	824.83	794.01	803.99	397500
2022-06-07 05:00:00	797.43	835.0	782.96	824.68	633900
2022-06-08 05:00:00	824.12	848.19	813.48	824.62	528400
